3	2	2	6
10	7	6	7
0	0	0	0
7	7	8	10
4	16	4	16
0	4	2	2
2	7	4	2
2	10	0	2
2	4	0	2
12	13	9	4
6	6	0	7
0	9	8	4
0	2	0	2
2	0	0	7
1	2	0	0
0	2	0	0
6	6	0	6
2	2	2	2
0	8	0	0
2	0	0	2
8	6	17	8
21	25	21	23
9	14	2	11
68	104	77	87
13	8	9	5
31	41	27	41
12	28	8	4
26	43	27	36
34	32	21	18
5	17	10	22
10	16	4	14
9	14	14	16
2	3	2	0
4	2	2	3
16	6	4	6
0	0	0	0
0	0	2	4
0	0	2	2
0	0	0	0
0	0	0	0
4	0	0	2
0	0	0	0
0	0	0	0
14	4	0	5
116	134	125	151
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6	0	0	0
0	0	2	0
6	0	2	0
2	2	0	0
2	6	8	2
2	0	4	2
4	4	10	12
0	0	0	2
0	0	2	0
0	0	0	0
0	0	0	0
4	2	2	0
2	0	0	1
2	0	1	1
0	0	0	0
2	4	1	4
8	2	8	8
0	2	0	1
0	0	0	0
0	0	0	0
14	6	8	11
16	10	4	10
21	8	14	18
14	24	10	17
15	7	14	8
8	14	17	11
4	9	0	4
7	17	8	8
0	0	5	0
9	20	14	15
9	6	15	6
0	6	3	3
0	11	8	4
10	24	12	4
4	4	2	6
1	0	0	0
22	31	11	15
10	9	12	13
5	20	2	8
33	21	22	21
0	2	0	2
0	0	4	1
31	30	46	37
4	10	10	4
19	36	45	32
28	28	29	43
0	5	0	0
8	25	15	22
10	13	6	15
28	30	16	20
2	2	2	6
7	5	2	7
4	10	2	10
28	30	20	24
4	6	2	4
8	4	4	6
15	15	12	12
10	4	4	2
12	8	10	16
99	108	70	97
4	21	3	8
14	7	18	9
24	24	15	24
0	0	4	4
3	0	1	3
6	5	3	4
11	18	6	10
0	0	0	0
5	2	4	2
13	16	12	35
8	15	12	4
2	8	9	4
10	17	7	16
28	25	21	16
4	10	0	0
4	9	10	8
6	10	6	4
0	2	4	2
39	38	70	45
64	56	64	62
13	20	12	6
4	3	0	0
6	6	4	0
0	2	0	0
18	10	14	8
15	7	23	12
27	10	14	12
149	162	171	141
18	24	29	19
9	8	13	12
15	21	12	17
6	10	16	7
0	6	3	4
4	4	3	6
13	12	4	13
34	21	27	22
0	0	0	0
0	0	0	0
0	0	0	0
37	15	17	22
29	29	19	17
27	19	13	19
6	9	4	4
11	16	10	5
106	214	75	107
10	10	2	4
12	14	4	2
14	28	5	14
6	11	2	4
4	1	1	6
0	0	0	0
0	0	1	2
0	0	0	0
2	2	0	1
21	12	49	24
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	0	2	5
0	2	0	4
0	2	0	0
4	6	2	4
2	14	4	12
0	0	0	0
2	4	0	0
8	11	10	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	3	0	1
2	0	0	0
0	0	0	0
0	0	2	0
12	22	33	12
11	5	14	6
10	12	6	4
0	0	0	0
0	0	0	0
8	2	2	4
0	0	0	0
2	0	0	0
2	0	0	0
0	0	4	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	6	0	2
0	0	0	0
0	0	0	0
0	0	0	0
