0	8	0
4	5	10
0	0	0
4	7	6
3	18	7
0	3	2
7	4	3
3	2	2
2	4	4
4	12	12
8	10	7
6	12	4
2	2	4
0	0	0
2	0	0
0	0	2
8	8	8
0	0	1
2	4	2
3	2	0
14	17	22
19	32	25
13	5	9
65	76	110
10	21	9
27	35	39
4	11	10
50	32	18
19	16	12
10	14	10
16	2	11
14	26	30
0	2	3
2	0	1
22	6	14
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
8	5	4
140	99	129
0	4	2
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	4	0
2	2	0
2	8	8
4	2	12
4	4	4
19	8	22
2	0	0
0	0	2
0	2	0
0	0	0
4	0	2
0	0	0
1	0	0
0	0	0
5	2	2
4	0	1
2	0	4
2	0	0
0	0	0
6	4	2
12	12	20
12	13	23
10	16	14
7	14	8
11	13	11
6	2	2
1	20	9
2	0	0
14	14	16
8	8	6
5	2	0
4	4	7
9	16	16
9	2	1
2	0	0
23	16	31
6	12	14
17	21	12
35	37	36
2	0	0
2	0	3
38	42	34
1	5	5
23	27	38
28	39	17
0	2	2
16	26	10
8	10	16
18	24	23
4	8	4
3	2	4
16	9	0
27	28	27
7	8	0
10	6	7
16	23	2
10	4	6
19	6	10
44	69	51
10	12	12
17	13	17
19	21	16
6	3	7
7	2	4
8	4	7
12	20	6
2	0	2
6	4	6
9	34	8
12	9	4
4	6	2
10	13	17
14	25	33
1	2	2
17	14	10
2	3	10
2	0	4
49	35	63
112	61	74
15	14	6
6	7	12
2	4	1
0	2	2
8	8	9
16	6	14
23	13	17
155	125	127
21	15	41
14	11	25
18	13	13
28	16	18
1	3	5
6	8	7
9	6	8
18	18	17
0	0	0
0	0	0
0	0	0
10	15	9
11	48	30
18	25	10
5	4	9
8	9	12
242	212	198
10	2	10
4	10	8
8	27	4
10	4	8
5	8	0
0	2	3
2	5	2
0	0	0
0	0	0
32	35	24
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
6	7	2
0	2	2
0	0	0
3	2	2
4	20	6
0	0	0
10	6	4
6	2	11
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	4	0
0	0	2
0	0	0
0	0	0
15	33	25
12	6	6
16	0	8
0	0	0
3	0	0
12	2	6
0	0	0
0	0	0
2	0	0
6	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	8	2
0	0	0
0	0	0
0	0	0
41	36	20
16	22	8
0	4	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	2	8
4	1	0
49	38	32
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
19	18	42
0	0	0
36	23	36
0	0	2
8	0	0
2	0	0
0	2	2
0	0	0
0	0	0
0	0	0
4	6	4
4	4	5
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
6	8	12
11	8	14
14	8	9
0	0	0
0	0	0
6	0	4
3	2	2
153	154	160
8	3	1
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
12	13	8
0	4	0
0	0	0
0	0	0
17	2	3
2	0	0
2	7	4
0	2	0
2	0	0
10	19	1
4	6	9
6	6	3
11	3	10
6	3	2
34	18	16
18	11	9
27	14	28
9	14	10
4	2	3
2	4	9
7	4	11
4	10	10
2	14	6
2	2	3
